Age,FrequentFlyer,AnnualIncomeClass,ServicesOpted,AccountSyncedToSocialMedia,BookedHotelOrNot,Target,TextualData
31,Yes,High Income,1,No,No,1,The individual is 31 years old and has a high income level. They are a frequent flyer and have opted for 1 service. They have not synced their account to social media and have not booked a hotel.
34,Yes,Low Income,1,Yes,No,0,"The customer is 34 years old and has a low annual income. They are a frequent flyer and have opted for 1 service. Their account is synced to social media, but they have not booked a hotel yet."
30,No Record,Middle Income,2,No,No,0,"Based on the available information, the customer is aged 30 and falls under the middle-income class category. They have opted for 2 services, are not a frequent flyer, have not synced their account to social media, and have not booked a hotel."
34,No,Middle Income,1,No,Yes,0,"The customer is 34 years old with a middle income level. They are not a frequent flyer and have opted for 1 service. Their account is not synced to social media, and they have booked a hotel."
38,Yes,Low Income,1,No,Yes,0,The customer is 38 years old and has opted for one service from the tour and travels company. They are a frequent flyer and have a low income. The customer has booked a hotel and their account is not synced to social media.
37,No,Middle Income,3,Yes,No,0,"The customer is 37 years old. They are not a frequent flyer and have a middle-income status. They have opted for 3 services and their account is synced to social media. However, they have not booked a hotel."
30,No,Middle Income,5,Yes,No,0,The customer is 30 years old and falls under the Middle Income category for annual income. They are not a Frequent Flyer and have opted for 5 services. Their account is synced to social media but they have not booked a hotel.
28,No,Low Income,1,Yes,No,0,"The customer is 28 years old and does not frequently fly. They fall into the low-income class category. The customer has opted for one service and has synced their account to social media. However, they have not booked a hotel."
34,Yes,High Income,1,No,No,0,"The customer is 34 years old and with a high income. They are a frequent flyer, have opted for 1 service, but have not synced their account to social media or booked a hotel."
33,No,Middle Income,6,No,Yes,0,"A 33-year-old individual, categorized under the Middle Income class, has opted for 6 services provided by the tour & travels company. They are not a frequent flyer and have not synced their account to any social media platform. Despite these details, they have booked a hotel through the company's services."
34,No,Low Income,2,No,No,0,"The customer is 34 years old and does not have frequent flyer status. They fall under the low-income bracket and have availed themselves of 2 services from the travel company. Their account is not synced to any social media platforms, and currently, they have not booked any hotel through the travel company."
27,No,Middle Income,3,Yes,No,0,"The customer is 27 years old and is classified as Middle Income based on their annual income. They have not opted for Frequent Flyer services but have availed 3 services. Their account is synced to social media platforms, and they have not booked a hotel yet."
35,Yes,High Income,1,No,No,1,"The customer is 35 years old and falls into the ""High Income"" annual income class category. They are a frequent flyer and have opted for 1 service from the tour & travels company. Their account is not synced to social media, and they have not booked a hotel yet."
30,No Record,Low Income,4,No,No,0,"The customer is 30 years old and has not provided any record of being a frequent flyer. Their annual income falls under the low-income class category. The customer has opted for 4 services, and their account is not synced to any social media platform. Their booking history indicates that they have not booked a hotel."
36,No,Middle Income,2,No,Yes,0,The customer is 36 years old and falls under the Middle Income bracket. They have opted for 2 services from the tour and travels company. They are not a Frequent Flyer and have not synced their account to social media. They have booked a hotel through the company.
34,Yes,Low Income,1,Yes,Yes,0,"Based on the information provided, we have a customer aged 34 who is a frequent flyer, falls into the low-income bracket, opted for 1 service, has their account synced to social media, and has booked a hotel. The customer's age, frequent flyer status, low income, service selection, social media account syncing, and hotel booking are all indicators that can be used to predict whether the customer will churn or not in the Tour & Travels Company's services."
37,Yes,Low Income,1,Yes,No,1,"Based on the provided information, the customer is aged 37 with a low income level. They are a frequent flyer who has opted for one service from the tour and travels company. Their account is synced to social media, indicating active engagement. However, they have not yet booked a hotel through the company. These indicators suggest that the customer may have a higher likelihood of churning due to their low-income status and no hotel booking, despite being an engaged frequent flyer."
37,No,Middle Income,3,No,No,0,The customer is 37 years old with a middle income. They have not opted for frequent flyer services or booked a hotel. They have chosen to sync their account to social media and have opted for 3 services.
36,No,Middle Income,2,No,No,0,The customer is 36 years old and does not have frequent flyer status. They belong to the middle income class and have opted for 2 services. Their account is not synced to social media and they have not booked a hotel.
27,No,Low Income,5,No,Yes,0,"The individual in question is an adult with an age of 27. They do not hold status as a frequent flyer. Their annual income classification falls under the category of Low Income. They have opted for 5 services from the tour and travels company. Their account is not synced to any social media platform. Furthermore, they have booked a hotel, indicating their engagement with the services offered by the company."
36,Yes,High Income,4,No,No,0,The customer is 36 years old and has a high income. They are a frequent flyer and have opted for 4 services. The customer has not synced their account to social media and has not booked a hotel.
28,No,Middle Income,1,Yes,Yes,0,"The customer is 28 years old and does not have frequent flyer status. Their annual income class is classified as Middle Income. They have opted for 1 service, and their account is synced to social media. The customer has also booked a hotel."
30,No,Low Income,2,No,No,0,The customer is 30 years old and falls under the low-income class. They are not a frequent flyer and have not synced their account to any social media platform. The customer has opted for 2 services but has not booked a hotel yet.
27,No,Middle Income,3,No,No,0,"Based on the provided indicators, a 27-year-old individual with a middle income level has opted for 3 services from the tour and travels company. This customer is not a frequent flyer, has not synced their account to any social media platform, and has not booked a hotel through the company."
37,Yes,High Income,6,No,Yes,1,"The customer is 37 years old, has a high annual income, has opted for 6 services, is a Frequent Flyer, has synced the account to social media, and has booked a hotel."
27,No,Low Income,1,Yes,No,0,The customer is 27 years old with a low income annual class. They are not a frequent flyer and have not booked a hotel. They have opted for one service and have synced their account to social media.
38,No,Middle Income,2,Yes,No,0,"The customer is 38 years old and falls into the middle-income class category. They have opted for 2 services and have linked their account to social media. On the other hand, the customer is not a frequent flyer and has not booked a hotel yet."
30,No,Middle Income,4,No,Yes,0,The customer is aged 30 and falls under the Middle Income bracket. They are not a Frequent Flyer and have opted for 4 services. They have not synced their account to social media but have booked a hotel.
34,Yes,Low Income,1,No,No,0,"The customer is aged 34 and is a frequent flyer. Their annual income class is considered low income, and they have opted for 1 service. The customer has not synced their account to social media and has not booked a hotel."
34,Yes,Low Income,3,No,Yes,1,The customer is 34 years old and has opted for 3 services provided by the tour and travels company. They are a frequent flyer and have booked a hotel. The customer has a low income and has not synced their account to social media.
31,No,Middle Income,2,No,No,0,"The customer is 31 years old and does not have a frequent flyer status. They fall under the middle-income bracket. The customer has opted for 2 services but has not synced their account to any social media platform. Additionally, they have not yet booked a hotel."
34,No,Low Income,1,Yes,No,0,"The customer is 34 years old and falls under the low income category. They are not a frequent flyer. However, they have their account synced to social media but have not booked a hotel yet. They have opted for only 1 service."
30,Yes,High Income,5,No,No,0,"The customer is 30 years old and falls into the high income class category. They have opted for 5 services from the travel company, have indicated that they are a frequent flyer, and have not synced their account to social media. Additionally, they have not booked a hotel through the company."
31,No,Middle Income,1,No,Yes,0,"The customer is 31 years old. They are not a frequent flyer, belong to the middle-income class, and have opted for 1 service. Their account is not synced to social media. Furthermore, the customer has booked a hotel."
28,No,Low Income,4,Yes,Yes,1,The customer is 28 years old. They do not have frequent flyer status. Their annual income class is classified as low income. They have opted for 4 services. Their account is synced to social media. The customer has booked a hotel.
30,No Record,Middle Income,3,Yes,Yes,0,"The customer is 30 years old and falls into the middle-income bracket. They have opted for 3 services and have synced their account to social media. Despite not being a frequent flyer, they have booked a hotel."
37,Yes,High Income,1,Yes,No,1,"The customer is 37 years old, with a high annual income. They are a frequent flyer and have synced their account to social media. The customer has opted for 1 service but has not booked a hotel."
36,No,Low Income,1,No,No,0,"The customer is 36 years old and does not have frequent flyer status. They fall under the low income category and have opted for 1 service through the travel company. Their account is not synced to any social media platform, and they have not booked a hotel through the company."
36,No,Middle Income,2,No,No,0,"The customer is 36 years old, does not have frequent flyer status, falls into the middle-income class, has opted for 2 services, has not synced their account to social media, and has not booked a hotel."
34,No,Middle Income,6,No,Yes,0,"The customer is 34 years old. They do not have frequent flyer status. Their annual income class is categorized as middle income. The customer has opted for 6 services. Their account is not synced to social media. Furthermore, the customer has booked a hotel."
35,Yes,Low Income,1,No,No,0,The customer is 35 years old and classified as having low income. They are a frequent flyer and have not booked a hotel. They have only opted for one service and have not synced their account to social media.
30,No,Middle Income,4,Yes,No,0,This customer is aged 30 with a middle income. They have opted for 4 services with the tour and travel company. The customer is not a frequent flyer and has synced their account to social media but has not booked a hotel yet.
29,No,Middle Income,2,No,No,0,"Based on the given indicators, a 29-year-old customer who is not a Frequent Flyer, falls under the Middle Income bracket, has opted for 2 services, has not synced their account to social media, and has not booked a hotel."
33,Yes,Low Income,1,Yes,Yes,0,"The customer is 33 years old and has indicated that they are a frequent flyer, holding a low income status. They have opted for one service and have synced their account to social media. Additionally, the customer has booked a hotel indicating active engagement with the travel company."
28,Yes,High Income,1,No,Yes,1,The customer is 28 years old and has a high annual income. They are a frequent flyer and have opted for 1 service. They have not synced their account to social media but have booked a hotel.
33,No,Middle Income,5,Yes,Yes,0,The customer is 33 years old. They are not a frequent flyer. Their annual income class is considered middle income. The customer has opted for 5 services. Their account is synced to social media. They have booked a hotel.
37,No Record,Low Income,2,Yes,No,1,The customer is 37 years old and falls under the Low Income annual income class. They have not provided any FrequentFlyer records. The customer has availed 2 services and has their account synced to social media. They have not booked a hotel.
31,No,Middle Income,3,No,No,0,"A 31-year-old customer with a middle-income classification, who is not a frequent flyer, has opted for 3 services. Their account is not synced to social media, and they have not booked a hotel."
34,Yes,High Income,4,No,No,1,"The customer is 34 years old and has a high income. They are a frequent flyer but have not synced their account to social media. The customer has opted for 4 services offered by the company. Additionally, they have not booked a hotel through the company."
37,No,Low Income,1,No,Yes,0,"The customer is 37 years old and does not have frequent flyer status. Their annual income falls under the low income class. They have opted for 1 service and have not synced their account to social media. Additionally, the customer has booked a hotel."
30,No,Low Income,2,No,No,0,The customer is 30 years old and falls under the category of low income. They have opted for 2 services but have not booked a hotel. The customer is not a frequent flyer and has not synced their account to social media.
30,No,Middle Income,1,Yes,Yes,0,The customer is 30 years old with a middle income level. They are not a frequent flyer and have opted for one service. Their account is synced to social media and they have booked a hotel.
30,Yes,Low Income,1,Yes,No,1,"The customer, aged 30, is a frequent flyer and falls into the low-income category. They have opted for 1 service and have their account synced to social media. However, they have not booked a hotel yet."
30,No,Middle Income,3,No,No,0,The customer is 30 years old with a middle income level. They are not a frequent flyer and have not synced their account to social media. The customer has opted for 3 services but has not booked a hotel.
37,No,Middle Income,6,No,Yes,0,"The customer is 37 years old and is classified as having a middle-income level. They have opted for 6 services, have not synced their account to social media, and have booked a hotel. The customer is not a frequent flyer."
31,No,Low Income,4,Yes,No,0,The customer is 31 years old and falls under the category of low income. They have not opted for frequent flyer membership and have synced their account to social media. The customer has opted for 4 services but has not booked a hotel through the company.
34,Yes,High Income,1,Yes,No,0,The customer is a 34-year-old individual with high income. They are a frequent flyer and have opted for 1 service from the tour & travels company. Their account is synced to social media but they have not booked a hotel yet.
34,Yes,Low Income,1,No,Yes,0,"The individual is aged 34 and is a frequent flyer. They have a low income, have opted for 1 service, and have booked a hotel. Their account is not synced to social media."
34,No,Low Income,5,No,No,0,The customer is 34 years old with a low annual income. They are not a frequent flyer and their account is not synced to social media. The customer has opted for 5 services but has not booked a hotel.
28,No,Middle Income,3,No,Yes,0,"The customer is 28 years old. They are not a frequent flyer. Their annual income class is middle income. They have opted for 3 services. Their account is not synced to social media. Lastly, they have booked a hotel."
27,Yes,High Income,1,No,No,1,The customer is 27 years old and has a high income level. They are a frequent flyer but do not have their account synced to social media. They have opted for 1 service but have not booked a hotel.
30,No,Low Income,1,Yes,No,0,"The customer is 30 years old and has a low income. They are not a frequent flyer and have not booked a hotel. However, they have synced their account to social media and have opted for 1 service."
37,No,Middle Income,4,No,No,0,The customer is 37 years old and falls under the middle-income class. They are not a frequent flyer and have not synced their account to social media. The customer has opted for 4 services but has not booked a hotel.
35,No,Middle Income,1,No,Yes,0,"The customer is 35 years old, does not frequently fly, belongs to the middle income annual income class, has opted for 1 service, has not synced the account to social media, and has booked a hotel."
27,Yes,Low Income,1,No,Yes,1,"The customer is 27 years old and has opted for 1 service. They are a frequent flyer, have a low income, have not synced their account to social media, and have booked a hotel."
35,No,Middle Income,3,Yes,No,0,"This individual, aged 35, falls under the Middle Income category for annual income. They have opted for 3 services and have their account synced to social media. As a non-Frequent Flyer, they have not booked a hotel."
30,No,Middle Income,2,Yes,No,0,"The customer is 30 years old and falls into the middle income class. The customer is not a frequent flyer but has opted for 2 services. Their account is synced to social media, and they have not booked a hotel."
37,No,Low Income,1,No,Yes,0,"The customer is 37 years old and has a low income. They are not a frequent flyer, have opted for 1 service, and their account is not synced to social media. They have booked a hotel."
30,Yes,High Income,1,No,No,0,"Based on the given indicators, a customer with an age of 30, possessing a High Income classification, and being a Frequent Flyer is likely to have a higher probability of not churning. The customer has opted for 1 service, has not synced their account to social media, and has not yet booked a hotel. These factors, when considered collectively, suggest a moderate likelihood that this customer will remain loyal."
29,No,Middle Income,6,No,Yes,0,"The customer, aged 29, does not have frequent flyer status. Their annual income falls within the middle-income bracket. They have opted for 6 services provided by the company. The customer has not synced their account to any social media platforms. Additionally, they have booked a hotel through the company's services."
30,No,Low Income,2,Yes,No,1,"The customer is 30 years old and has a low income. They are not a frequent flyer and have opted for 2 services. Their account is synced to social media, but they have not booked a hotel."
30,No,Low Income,5,Yes,No,0,The customer is 30 years old and has a low income. They have not enrolled as a frequent flyer but have opted for 5 services. Their account is synced to social media and they have not booked a hotel yet.
36,Yes,High Income,1,No,No,1,"The customer is 36 years old. They are a frequent flyer. The customer falls under the high-income annual income class. They have opted for one service. The customer hasn't synced their account to social media. Lastly, they have not booked a hotel."
37,No,Low Income,1,No,No,0,"The customer is 37 years old and does not have frequent flyer status. They fall under the low income category based on their annual income. They have opted for 1 service. Their account is not synced to any social media platform. Additionally, they have not booked a hotel."
28,No,Middle Income,2,No,Yes,1,The customer is 28 years old and falls under the Middle Income Annual Income class category. They have not enrolled in the Frequent Flyer program and have opted for 2 services. The customer has not synced their account to any social media platform and they have booked a hotel for their travel.
30,No,Middle Income,1,Yes,Yes,0,"The customer is 30 years old and has a middle income. They are not a frequent flyer but have opted for 1 service. Their account is synced to social media, and they have booked a hotel."
31,Yes,Low Income,4,Yes,No,1,"This customer, aged 31, is a frequent flyer and has opted for 4 services offered by the travel company. Their annual income falls under the category of low income. They have synced their account to social media and have not booked a hotel through the company."
31,No,Middle Income,3,No,No,0,"This customer, aged 31, does not qualify as a Frequent Flyer and falls under the Middle Income category. They have opted for 3 services but their account is not synced to any social media platform. Also, they have not booked a hotel."
31,No,Low Income,2,No,No,0,"The customer is 31 years old and has a low income. They are not a frequent flyer, do not have their account synced to social media, and have not booked a hotel. For the services opted, they have selected 2 services."
30,No Record,Low Income,1,Yes,Yes,0,"The customer is 30 years old and has a low income. They do not have a frequent flyer record, but they have synced their account to social media and have booked a hotel. They have opted for 1 service."
36,Yes,High Income,1,No,No,0,"The customer is 36 years old and belongs to the high income class. They are a frequent flyer and have opted for 1 service from the travel company. Their account is not synced to social media, and they have not booked a hotel through the company."
31,No,Middle Income,1,Yes,Yes,0,The customer is 31 years old and falls under the Middle Income annual income class category. They do not have Frequent Flyer status but have synced their account to social media. They have opted for 1 service and have already booked a hotel.
28,No,Low Income,2,No,No,1,The customer is 28 years old with a low income level. They are not a frequent flyer and they have opted for 2 services. Their account is not synced to social media and they have not booked a hotel.
30,No,Middle Income,4,No,Yes,0,"The customer is 30 years old and falls under the middle-income category. They have opted for 4 services but are not a frequent flyer. Even though they booked a hotel, their account is not synced to social media."
30,Yes,High Income,6,No,Yes,1,"A 30-year-old customer with a high annual income and a history of opting for 6 services has confirmed bookings with a high likelihood of churning, indicated by the absence of account syncing to social media despite being a frequent flyer and having booked a hotel."
37,Yes,Low Income,1,Yes,No,0,"Based on the data provided, a 37-year-old customer, who is a frequent flyer, has a low annual income level, has opted for 1 service, has synced their account with social media, and has not yet booked a hotel."
37,No,Middle Income,2,Yes,No,0,"The customer is 37 years old, belongs to the Middle Income class, has opted for 2 services, has not booked a hotel, is not a frequent flyer, and has synced their account to social media."
28,No,Middle Income,1,No,Yes,0,The customer is 28 years old. They are not a frequent flyer and fall into the Middle Income annual income class. They have only opted for 1 service from the tour and travels company. Their account is not synced to social media. The customer has booked a hotel.
27,Yes,Low Income,1,Yes,No,1,The customer is 27 years old and has an annual income classified as low. The customer is a frequent flyer and has their account synced to social media. They have opted for 1 service but have not booked a hotel.
34,No,Middle Income,3,No,Yes,0,The customer is 34 years old and falls into the Middle Income category. They have opted for 3 services and have booked a hotel. They are not a frequent flyer and have not synced their account to social media.
30,No Record,Middle Income,4,No,No,0,"The customer is 30 years old and falls into the Middle Income category for annual income. They have not provided any record of being a Frequent Flyer. The customer has opted for 4 services. Their account is not synced to social media, and they have not booked a hotel yet."
33,No,Low Income,1,Yes,Yes,0,"The customer is 33 years old and revealed that they do not belong to the Frequent Flyer category. Their Annual Income Class is categorized as Low Income. They have opted for 1 service. Additionally, the customer has their account synced to social media and has already booked a hotel."
31,Yes,High Income,1,No,No,0,The customer is 31 years old and has a high income. They are a frequent flyer and have opted for 1 service. Their account is not synced to social media and they have not booked a hotel.
31,No,Middle Income,1,No,Yes,0,"The customer in question is 31 years old, does not frequently fly, belongs to the middle income class, has opted for 1 service, has not synced their account to social media, and has booked a hotel."
31,No,Low Income,2,No,Yes,0,A 31-year-old customer with low income is a non-frequent flyer who has opted for 2 services. They have not synced their account to social media but have booked a hotel.
30,No,Middle Income,3,Yes,No,0,"Based on the details provided, the customer is aged 30 and falls under the middle-income class. They are not a frequent flyer, but have opted for 3 services from the tour and travels company. The customer has synced their account to social media and has not booked a hotel yet."
34,Yes,High Income,1,Yes,No,1,"The customer is 34 years old, has a high income, is a frequent flyer, opted for one service, has their account synced to social media, and has not booked a hotel."
34,No,Low Income,5,Yes,No,0,"The customer is 34 years old and belongs to the low-income class. They are not a frequent flyer and have opted for 5 services. Their account is synced to social media, and they have not booked a hotel."
34,No,Middle Income,2,No,No,0,The customer is 34 years old and has an annual income classified as middle income. They are not a frequent flyer and have not booked a hotel. They have opted for 2 services but their account is not synced to social media.
30,No,Low Income,6,No,Yes,0,"The customer is a 30-year-old individual with low income and has opted for 6 services. They are not a frequent flyer and have not synced their account to social media. Additionally, the customer has booked a hotel."
28,Yes,Low Income,1,No,No,1,"This customer is 28 years old and is classified as having a low income. They are a frequent flyer and have opted for one travel service. Their account is not synced to social media, and they have not booked a hotel yet."
35,No Record,Middle Income,3,Yes,No,0,"The customer is aged 35 and falls into the middle-income class. They have not been identified as a frequent flyer. With a total of 3 services opted for, it seems like this customer may be fairly active in engaging with the travel company. Their account is synced to social media, indicating a level of digital engagement. However, they have not made a hotel booking with the company yet."
29,No,Middle Income,2,No,No,0,"The customer is a 29-year-old individual with a middle income level. They are not classified as a frequent flyer and have opted for 2 services. Their account is not synced to social media, and they have not booked a hotel."
35,No,Low Income,1,No,No,0,"A customer with an age of 35, having low income, not being a frequent flyer, opting for 1 service, not syncing the account to social media, and not having booked a hotel is being analyzed for the likelihood of churning."
31,Yes,High Income,4,No,Yes,0,The customer is aged 31 and has a high income class. They have opted in for 4 services and have booked a hotel. They are a frequent flyer but their account is not synced to social media.
35,No,Middle Income,1,Yes,Yes,0,The customer is 35 years old and belongs to the middle income class. They are not a frequent flyer but have synced their account to social media. The customer has opted for one service and has also booked a hotel.
29,No,Low Income,2,Yes,No,1,"The customer is 29 years old and belongs to the Low Income category. They are not a Frequent Flyer and have not booked a hotel. However, they have opted for 2 services. Additionally, their account is synced to social media."
34,No,Middle Income,3,No,Yes,0,"The customer is 34 years old and falls under the middle-income bracket. They have opted for 3 services provided by the company. The customer is not a frequent flyer and has not synced their account to any social media platform. Additionally, they have booked a hotel through the company."
31,Yes,High Income,1,No,No,1,The customer is 31 years old and has a high income. They are a frequent flyer but have not booked a hotel. They have opted for 1 service and have not synced their account to social media.
30,No,Low Income,1,No,Yes,0,"Based on the provided indicators, a 30-year-old individual with low income, who is not a frequent flyer and doesn't have their account synced to social media, has opted for 1 service and has booked a hotel.
"
30,No,Middle Income,5,No,No,0,"The customer is 30 years old and does not have frequent flyer status. They fall in the middle income category based on their annual income. They have opted for 5 services. Their account is not synced to social media, and they have not booked a hotel."
30,No,Middle Income,4,Yes,Yes,0,"The customer, aged 30, has not indicated that they are a frequent flyer. With a middle income, they have opted for four services and have their account synced to social media. They have also booked a hotel."
27,Yes,Low Income,1,No,No,1,The customer is 27 years old and is a frequent flyer. They have a low annual income and have opted for 1 service. Their account is not synced to social media and they have not booked a hotel.
30,No,Low Income,3,No,No,0,"The customer is aged 30 and does not hold a FrequentFlyer status. Their AnnualIncomeClass falls under the Low Income category. They have opted for 3 services but have not synced their account to any social media platform. Furthermore, the customer has not booked a hotel."
30,No,Middle Income,6,No,Yes,0,"The customer is middle-aged, aged around 30 years old. They are not a frequent flyer and have opted for 6 services. Their annual income falls under the middle-income class category. The customer has not synced their account to any social media platforms and has booked a hotel."
31,No,Low Income,1,Yes,Yes,0,The customer is 31 years old. They are not a frequent flyer and fall into the Low-Income category for annual income. The customer has opted for 1 service and their account is synced to social media. They have also booked a hotel.
31,Yes,High Income,1,Yes,No,0,"The customer, aged 31, is a frequent flyer and has a high annual income. They have opted for one service and have synced their account to social media. However, they have not booked a hotel yet."
30,No,Middle Income,1,No,Yes,0,The customer is 30 years old and belongs to the middle-income class. They are not a frequent flyer and have not synced their account to social media. They have opted for one service and have booked a hotel.
38,No,Low Income,4,No,No,0,The customer is 38 years old. They do not have frequent flyer status. Their annual income falls under the low income bracket. The customer has opted for 4 services. They have not synced their account to social media. The customer has not booked a hotel.
30,No,Middle Income,3,No,Yes,0,"The customer is 30 years old and falls under the middle-income category. They have not enrolled as a frequent flyer and have opted for 3 services. Their account is not synced to social media, however, they have booked a hotel."
27,Yes,High Income,1,No,No,1,The customer is 27 years old and has a high income. They are a frequent flyer and have not synced their account to social media. The customer has opted for 1 service but has not booked a hotel yet.
35,No,Low Income,1,Yes,No,0,The customer is 35 years old and has a low income. They are not a frequent flyer and have opted for 1 service from the tour and travels company. The customer has synced their account to social media but has not booked a hotel through the company.
28,No,Middle Income,2,No,No,1,"The customer is 28 years old and does not have frequent flyer status. Their annual income class is considered to be middle income. They have opted for 2 services and have not synced their account to social media. Additionally, the customer has not booked a hotel."
34,No Record,Middle Income,5,No,Yes,0,"The customer is 34 years old and falls under the middle-income bracket. They have opted for 5 services provided by the tour and travels company. The customer is not a frequent flyer and has not synced their account to social media. Additionally, they have booked a hotel through the tour and travels company."
30,Yes,Low Income,1,Yes,Yes,1,"Based on the provided indicators, a customer aged 30, belonging to the low-income category, and is a frequent flyer has opted for 1 service. Additionally, the customer has synced their account to social media and has already made a hotel booking."
33,No,Middle Income,4,Yes,No,0,"The customer is 33 years old and falls under the category of Middle Income based on their annual income. They are not a Frequent Flyer but have opted for 4 services. Their account is synced to social media, and they have not booked a hotel yet."
34,No,Middle Income,2,Yes,No,0,"The individual is 34 years old and falls under the Middle Income annual income class category. They have not enrolled as a Frequent Flyer. For services, they have opted for 2 offerings. Their social media account is synced to their travel account. They have not booked a hotel yet."
27,No,Low Income,1,No,No,0,The customer is aged 27 and has a low income. They are not a frequent flyer and have not booked a hotel. They have opted for one service but their account is not synced to social media.
30,Yes,High Income,1,No,No,0,The customer is 30 years old. They have a high annual income and are a frequent flyer. They have opted for 1 service. Their account is not synced to social media and they have not booked a hotel yet.
30,No,Middle Income,6,No,Yes,0,The customer is 30 years old and does not have frequent flyer status. They fall under the category of middle income for annual income. The customer has opted for 6 services. Their account is not synced to social media and they have booked a hotel.
31,No,Low Income,2,No,No,0,"The customer is 31 years old. They are not a frequent flyer and fall under the low-income annual income class category. They have opted for 2 services from the tour & travels company. Their account is not synced to any social media platform, and they have not booked a hotel yet."
30,No,Middle Income,3,Yes,Yes,0,"The customer is 30 years old and has not enrolled as a Frequent Flyer. Their Annual Income Class is Middle Income. The customer has opted for 3 services and has their account synced to social media. Additionally, they have booked a hotel."
27,Yes,High Income,4,No,No,1,The customer is 27 years old and has a high income. They are a frequent flyer and have opted for 4 services. Their account is not synced to social media and they have not booked a hotel.
30,No,Low Income,1,Yes,No,0,"The customer is 30 years old and does not have frequent flyer status. The customer falls into the low-income category and has only opted for 1 service. Their social media account is synced, but they have not booked a hotel yet."
